"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 50","27 Mar 2025","7671.65","7753.6","7641.4","7735.90"
"NIFTY SMALLCAP 50","26 Mar 2025","7778.65","7809.75","7678.1","7689.20"
"NIFTY SMALLCAP 50","25 Mar 2025","7939.05","7953.3","7744.35","7765.15"
"NIFTY SMALLCAP 50","24 Mar 2025","7860.65","7932.9","7819.95","7881.20"
"NIFTY SMALLCAP 50","21 Mar 2025","7663.6","7816.1","7639.35","7803.95"
"NIFTY SMALLCAP 50","20 Mar 2025","7663.85","7702.95","7565.9","7640.80"
"NIFTY SMALLCAP 50","19 Mar 2025","7485.8","7620.95","7454.85","7603.20"
"NIFTY SMALLCAP 50","18 Mar 2025","7294.9","7465.2","7290.55","7455.00"
"NIFTY SMALLCAP 50","17 Mar 2025","7216.6","7295.55","7199.25","7247.45"
"NIFTY SMALLCAP 50","13 Mar 2025","7292.4","7304.55","7185.9","7192.95"
"NIFTY SMALLCAP 50","12 Mar 2025","7317.75","7342.8","7192.45","7270.40"
"NIFTY SMALLCAP 50","11 Mar 2025","7248.15","7315.9","7193.1","7284.50"
"NIFTY SMALLCAP 50","10 Mar 2025","7488.85","7557.6","7305.15","7329.95"
"NIFTY SMALLCAP 50","07 Mar 2025","7487.25","7547.15","7463.5","7480.30"
"NIFTY SMALLCAP 50","06 Mar 2025","7445.05","7504.7","7418.15","7476.65"
"NIFTY SMALLCAP 50","05 Mar 2025","7150.45","7386.8","7150.45","7379.25"
"NIFTY SMALLCAP 50","04 Mar 2025","7020.35","7204.15","6975.95","7148.65"
"NIFTY SMALLCAP 50","03 Mar 2025","7117.1","7159.5","6943.95","7109.55"
"NIFTY SMALLCAP 50","28 Feb 2025","7254.5","7272.7","7055.05","7095.75"
"NIFTY SMALLCAP 50","27 Feb 2025","7442.9","7456.45","7284","7323.25"
"NIFTY SMALLCAP 50","25 Feb 2025","7455.6","7522.6","7409.15","7429.70"
"NIFTY SMALLCAP 50","24 Feb 2025","7484.1","7526.85","7404.05","7461.40"
"NIFTY SMALLCAP 50","21 Feb 2025","7618.8","7713.2","7510.9","7544.40"
"NIFTY SMALLCAP 50","20 Feb 2025","7486.3","7635.9","7460.25","7625.95"
"NIFTY SMALLCAP 50","19 Feb 2025","7291.55","7537.1","7255.65","7509.05"
"NIFTY SMALLCAP 50","18 Feb 2025","7456.55","7466.15","7283.55","7346.00"
"NIFTY SMALLCAP 50","17 Feb 2025","7360.45","7468.9","7236.25","7453.75"
"NIFTY SMALLCAP 50","14 Feb 2025","7719.8","7727.65","7328.15","7402.70"
"NIFTY SMALLCAP 50","13 Feb 2025","7721.4","7810.55","7683.7","7695.70"
"NIFTY SMALLCAP 50","12 Feb 2025","7735.7","7777.8","7486.15","7731.00"
"NIFTY SMALLCAP 50","11 Feb 2025","8022.85","8030.55","7694","7746.20"
"NIFTY SMALLCAP 50","10 Feb 2025","8210.85","8230","7995.1","8027.20"
"NIFTY SMALLCAP 50","07 Feb 2025","8198.8","8261.7","8118.5","8214.20"
"NIFTY SMALLCAP 50","06 Feb 2025","8286.25","8293","8196.8","8231.95"
"NIFTY SMALLCAP 50","05 Feb 2025","8105.15","8269.1","8104.6","8249.50"
"NIFTY SMALLCAP 50","04 Feb 2025","8040.1","8087.85","7995","8081.80"
"NIFTY SMALLCAP 50","03 Feb 2025","8062.8","8084.6","7934.75","7980.00"
"NIFTY SMALLCAP 50","01 Feb 2025","8063.15","8160.95","7944.95","8141.20"
"NIFTY SMALLCAP 50","31 Jan 2025","7933","8055.65","7907.95","8049.35"
"NIFTY SMALLCAP 50","30 Jan 2025","7958.9","7995.45","7872.1","7901.80"
"NIFTY SMALLCAP 50","29 Jan 2025","7651.2","7905.35","7644.5","7895.95"
"NIFTY SMALLCAP 50","28 Jan 2025","7824.55","7829.3","7522","7649.10"
"NIFTY SMALLCAP 50","27 Jan 2025","8037","8037.7","7747.95","7800.70"
"NIFTY SMALLCAP 50","24 Jan 2025","8339.35","8357.2","8087","8115.50"
"NIFTY SMALLCAP 50","23 Jan 2025","8228.4","8368.7","8189.7","8346.10"
"NIFTY SMALLCAP 50","22 Jan 2025","8355.85","8362.85","8110.4","8237.35"
"NIFTY SMALLCAP 50","21 Jan 2025","8539.1","8554.25","8324.8","8341.95"
"NIFTY SMALLCAP 50","20 Jan 2025","8444.65","8526.75","8382.65","8520.25"
"NIFTY SMALLCAP 50","17 Jan 2025","8400.55","8436.95","8338.55","8421.95"
"NIFTY SMALLCAP 50","16 Jan 2025","8357.65","8441.55","8356.85","8402.15"
"NIFTY SMALLCAP 50","15 Jan 2025","8277.25","8347.65","8186.25","8288.10"
"NIFTY SMALLCAP 50","14 Jan 2025","8096","8248.85","8095.25","8229.30"
"NIFTY SMALLCAP 50","13 Jan 2025","8271","8332.35","8019.3","8068.20"
"NIFTY SMALLCAP 50","10 Jan 2025","8599.05","8607.65","8381.05","8386.95"
"NIFTY SMALLCAP 50","09 Jan 2025","8701.35","8733.95","8597.2","8608.15"
"NIFTY SMALLCAP 50","08 Jan 2025","8848.1","8858.3","8631.2","8702.55"
"NIFTY SMALLCAP 50","07 Jan 2025","8749","8852.75","8737.45","8838.85"
