"Date","Price","Open","High","Low","Vol.","Change %"
"17-04-2025","35,549.39","35,549.39","35,549.39","35,549.39","","1.77%"
"16-04-2025","34,931.66","34,931.66","34,931.66","34,931.66","","0.47%"
"15-04-2025","34,769.71","34,769.71","34,769.71","34,769.71","","2.19%"
"11-04-2025","34,024.50","34,024.50","34,024.50","34,024.50","","1.92%"
"09-04-2025","33,384.56","33,384.56","33,384.56","33,384.56","","-0.61%"
"08-04-2025","33,588.28","33,588.28","33,588.28","33,588.28","","1.69%"
"07-04-2025","33,030.49","33,030.49","33,030.49","33,030.49","","-3.24%"
"04-04-2025","34,137.61","34,137.61","34,137.61","34,137.61","","-1.49%"
"03-04-2025","34,652.84","34,652.84","34,652.84","34,652.84","","-0.35%"
"02-04-2025","34,775.40","34,775.40","34,775.40","34,775.40","","0.72%"
"01-04-2025","34,527.01","34,527.01","34,527.01","34,527.01","","-1.50%"
"28-03-2025","35,054.08","35,054.08","35,054.08","35,054.08","","-0.31%"
"27-03-2025","35,162.32","35,162.32","35,162.32","35,162.32","","0.45%"
"26-03-2025","35,005.67","35,005.67","35,005.67","35,005.67","","-0.77%"
"25-03-2025","35,276.65","35,276.65","35,276.65","35,276.65","","0.04%"
"24-03-2025","35,261.27","35,261.27","35,261.27","35,261.27","","1.32%"
"21-03-2025","34,802.30","34,802.30","34,802.30","34,802.30","","0.69%"
"20-03-2025","34,564.18","34,564.18","34,564.18","34,564.18","","1.24%"
"19-03-2025","34,142.35","34,142.35","34,142.35","34,142.35","","0.32%"
"18-03-2025","34,033.06","34,033.06","34,033.06","34,033.06","","1.45%"
"17-03-2025","33,547.88","33,547.88","33,547.88","33,547.88","","0.50%"
"13-03-2025","33,381.62","33,381.62","33,381.62","33,381.62","","-0.33%"
"12-03-2025","33,490.87","33,490.87","33,490.87","33,490.87","","-0.12%"
"11-03-2025","33,531.68","33,531.68","33,531.68","33,531.68","","0.17%"
"10-03-2025","33,473.92","33,473.92","33,473.92","33,473.92","","-0.41%"
"07-03-2025","33,611.30","33,611.30","33,611.30","33,611.30","","0.04%"
"06-03-2025","33,599.30","33,599.30","33,599.30","33,599.30","","0.93%"
"05-03-2025","33,290.20","33,290.20","33,290.20","33,290.20","","1.15%"
"04-03-2025","32,910.63","32,910.63","32,910.63","32,910.63","","-0.17%"
"03-03-2025","32,965.25","32,965.25","32,965.25","32,965.25","","-0.02%"
"28-02-2025","32,973.36","32,973.36","32,973.36","32,973.36","","-1.86%"
"27-02-2025","33,599.79","33,599.79","33,599.79","33,599.79","","-0.01%"
"25-02-2025","33,603.55","33,603.55","33,603.55","33,603.55","","-0.03%"
"24-02-2025","33,612.18","33,612.18","33,612.18","33,612.18","","-1.06%"
"21-02-2025","33,973.61","33,973.61","33,973.61","33,973.61","","-0.51%"
"20-02-2025","34,148.36","34,148.36","34,148.36","34,148.36","","-0.09%"
"19-02-2025","34,177.82","34,177.82","34,177.82","34,177.82","","-0.05%"
"18-02-2025","34,196.32","34,196.32","34,196.32","34,196.32","","-0.06%"
