Date,Yield
2022-01-05,3.5594
2022-01-12,3.5671
2022-01-19,3.6856
2022-01-25,3.708
2022-02-02,3.8838
2022-02-09,3.8887
2022-02-16,3.677
2022-02-23,3.6954
2022-03-02,3.7448
2022-03-09,3.8061
2022-03-16,3.7689
2022-03-23,3.7992
2022-03-30,3.84
2022-04-06,3.8682
2022-04-12,3.9795
2022-04-20,3.9599
2022-04-27,3.9799
2022-05-04,4.029
2022-05-11,4.9538
2022-05-18,4.9127
2022-05-25,4.8869
2022-06-01,4.9538
2022-06-08,4.9991
2022-06-15,5.0566
2022-06-22,5.0875
2022-06-29,5.1595
2022-07-06,5.1389
2022-07-13,5.2401
2022-07-20,5.3987
2022-07-27,5.6229
2022-08-03,5.5586
2022-08-10,5.5949
2022-08-17,5.5598
2022-08-24,5.5998
2022-08-30,5.6341
2022-09-07,5.6287
2022-09-14,5.7153
2022-09-21,5.88
2022-09-28,6.1776
2022-10-04,6.0783
2022-10-12,6.3145
2022-10-19,6.3563
2022-10-27,6.3994
2022-11-02,6.4702
2022-11-09,6.4764
2022-11-16,6.4374
2022-11-23,6.4482
2022-11-30,6.3977
2022-12-07,6.4474
2022-12-14,6.3977
2022-12-21,6.394
2022-12-28,6.3099
2023-01-04,6.3571
2023-01-11,6.389
2023-01-18,6.4238
2023-01-25,6.4731
2023-02-01,6.5588
2023-02-08,6.6699
2023-02-15,6.7292
2023-02-22,6.8154
2023-03-01,6.9391
2023-03-08,6.9677
2023-03-15,6.8573
2023-03-23,6.7366
2023-03-29,7.282
2023-04-05,7.1797
2023-04-12,6.73
2023-04-19,6.7764
2023-04-26,6.8225
2023-05-03,6.8984
2023-05-10,6.9482
2023-05-17,6.8391
2023-05-24,6.7677
2023-05-31,6.7839
2023-06-07,6.7545
2023-06-14,6.7876
2023-06-21,6.737
2023-06-28,6.7599
2023-07-05,6.72
2023-07-12,6.7399
2023-07-19,6.7138
2023-07-26,6.72
2023-08-02,6.7188
2023-08-09,6.7487
2023-08-17,6.8781
2023-08-23,6.8569
2023-08-30,6.8225
2023-09-06,6.8001
2023-09-13,6.8474
2023-09-20,6.8548
2023-09-27,6.8648
2023-10-04,6.864
2023-10-11,6.8847
2023-10-18,6.893
2023-10-25,6.9349
2023-11-01,6.9325
2023-11-08,6.9221
2023-11-15,6.9374
2023-11-22,6.9474
2023-11-29,6.9599
2023-12-06,6.9549
2023-12-13,6.9781
2023-12-20,6.9441
2023-12-27,6.93
2024-01-03,6.9378
2024-01-10,6.9275
2024-01-17,6.9698
2024-01-24,7.0201
2024-01-31,7.0446
2024-02-07,7.0147
2024-02-14,7.0508
2024-02-21,7.0184
2024-02-28,6.9594
2024-03-06,6.8988
2024-03-13,6.8781
2024-03-20,6.8785
2024-03-27,7.0101
2024-04-03,6.8768
2024-04-10,6.8702
2024-04-18,6.8752
2024-04-24,6.92
2024-05-02,6.9972
2024-05-08,6.9997
2024-05-15,6.9885
2024-06-05,6.8619
2024-06-12,6.837
