"Date","Price","Open","High","Low","Change %"
"03/28/2025","6.684","6.707","6.707","6.684","1.43%"
"03/27/2025","6.590","6.618","6.618","6.582","-0.15%"
"03/26/2025","6.600","6.643","6.643","6.598","-0.45%"
"03/25/2025","6.630","6.646","6.646","6.621","0.15%"
"03/24/2025","6.620","6.643","6.643","6.626","0.00%"
"03/21/2025","6.620","6.645","6.645","6.617","-0.30%"
"03/20/2025","6.640","6.655","6.658","6.629","-0.30%"
"03/19/2025","6.660","6.659","6.665","6.656","-0.15%"
"03/18/2025","6.670","6.698","6.698","6.669","-0.30%"
"03/17/2025","6.690","6.702","6.702","6.687","0.00%"
"03/13/2025","6.690","6.696","6.698","6.680","0.15%"
"03/12/2025","6.680","6.703","6.703","6.678","-0.15%"
"03/11/2025","6.690","6.717","6.717","6.687","-0.15%"
"03/10/2025","6.700","6.714","6.714","6.687","0.30%"
"03/07/2025","6.680","6.682","6.690","6.682","0.00%"
"03/06/2025","6.680","6.686","6.694","6.680","-0.45%"
"03/05/2025","6.710","6.757","6.757","6.709","-0.45%"
"03/04/2025","6.740","6.736","6.745","6.721","0.15%"
"03/03/2025","6.730","6.789","6.789","6.729","0.15%"
"02/28/2025","6.720","6.709","6.731","6.706","0.15%"
"02/27/2025","6.710","6.700","6.712","6.699","0.06%"
"02/25/2025","6.706","6.699","6.709","6.695","0.09%"
"02/24/2025","6.700","6.696","6.707","6.693","-0.12%"
"02/21/2025","6.708","6.703","6.714","6.701","0.07%"
"02/20/2025","6.703","6.682","6.705","6.680","0.31%"
"02/18/2025","6.682","6.700","6.700","6.680","-0.15%"
"02/17/2025","6.692","6.694","6.694","6.687","-0.19%"
"02/14/2025","6.705","6.709","6.710","6.699","-0.10%"
"02/13/2025","6.712","6.723","6.723","6.699","0.22%"
"02/12/2025","6.697","6.710","6.710","6.693","0.00%"
"02/11/2025","6.697","6.688","6.699","6.685","-0.24%"
"02/10/2025","6.713","6.717","6.728","6.709","0.21%"
"02/07/2025","6.699","6.668","6.710","6.652","0.63%"
"02/06/2025","6.657","6.649","6.659","6.649","-0.11%"
"02/05/2025","6.664","6.674","6.674","6.653","-0.12%"
