"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 100","27 Mar 2025","51423.4","51954.55","51286.85","51839.40"
"NIFTY MIDCAP 100","26 Mar 2025","52035.65","52416.1","51581","51646.15"
"NIFTY MIDCAP 100","25 Mar 2025","52882.6","52926.85","51714.95","51969.75"
"NIFTY MIDCAP 100","24 Mar 2025","52237.5","52762.8","52047.75","52524.05"
"NIFTY MIDCAP 100","21 Mar 2025","51160.65","51905.95","51011.5","51850.75"
"NIFTY MIDCAP 100","20 Mar 2025","51151","51242.95","50605.85","51144.40"
"NIFTY MIDCAP 100","19 Mar 2025","49739.35","50899.65","49662.45","50817.10"
"NIFTY MIDCAP 100","18 Mar 2025","48737.65","49580.05","48624.15","49516.90"
"NIFTY MIDCAP 100","17 Mar 2025","48196.9","48692.85","48139.5","48461.80"
"NIFTY MIDCAP 100","13 Mar 2025","48683.75","48743.95","48036.9","48125.10"
"NIFTY MIDCAP 100","12 Mar 2025","48934.85","49085.85","47910.55","48486.60"
"NIFTY MIDCAP 100","11 Mar 2025","47999.6","48872.4","47831.95","48762.75"
"NIFTY MIDCAP 100","10 Mar 2025","49248.4","49541.2","48281.4","48440.10"
"NIFTY MIDCAP 100","07 Mar 2025","49340","49644.95","49082.65","49190.60"
"NIFTY MIDCAP 100","06 Mar 2025","49645.65","49812.15","49252.6","49348.10"
"NIFTY MIDCAP 100","05 Mar 2025","47874.65","49203.95","47874.65","49168.35"
"NIFTY MIDCAP 100","04 Mar 2025","47437.75","48271.8","47056.9","48007.85"
"NIFTY MIDCAP 100","03 Mar 2025","47962.2","48104.35","46865.7","47984.15"
"NIFTY MIDCAP 100","28 Feb 2025","48732.05","48755.7","47485.3","47915.20"
"NIFTY MIDCAP 100","27 Feb 2025","49757.05","49858.1","48961.85","49136.75"
"NIFTY MIDCAP 100","25 Feb 2025","49967.3","50292.55","49590.25","49702.15"
"NIFTY MIDCAP 100","24 Feb 2025","50012.9","50159.3","49561.25","50013.10"
"NIFTY MIDCAP 100","21 Feb 2025","51099.75","51555.55","50308.7","50486.20"
"NIFTY MIDCAP 100","20 Feb 2025","50405.15","51214.5","50195.9","51163.80"
"NIFTY MIDCAP 100","19 Feb 2025","49485.8","50609.25","49214.55","50527.25"
"NIFTY MIDCAP 100","18 Feb 2025","49906.55","49982.1","49120.8","49751.45"
"NIFTY MIDCAP 100","17 Feb 2025","49281.25","49922.2","48503.45","49849.85"
"NIFTY MIDCAP 100","14 Feb 2025","51074.3","51159.25","49139.85","49654.15"
"NIFTY MIDCAP 100","13 Feb 2025","50856.4","51556.2","50669.15","50881.20"
"NIFTY MIDCAP 100","12 Feb 2025","50779.3","51048.85","49357.65","50756.40"
"NIFTY MIDCAP 100","11 Feb 2025","52503.85","52557.3","50551.95","50887.95"
"NIFTY MIDCAP 100","10 Feb 2025","53620.05","53675.1","52305","52471.05"
"NIFTY MIDCAP 100","07 Feb 2025","53557.55","53909.4","53032.65","53609.15"
"NIFTY MIDCAP 100","06 Feb 2025","54417.3","54454.25","53370.7","53500.85"
"NIFTY MIDCAP 100","05 Feb 2025","54058.1","54535.75","54040.15","54180.85"
"NIFTY MIDCAP 100","04 Feb 2025","53372.5","53894.25","53274.75","53813.80"
"NIFTY MIDCAP 100","03 Feb 2025","53099.4","53214.6","52495.3","52988.80"
"NIFTY MIDCAP 100","01 Feb 2025","53953.55","54162.55","52744.3","53486.15"
"NIFTY MIDCAP 100","31 Jan 2025","52841.65","53815.65","52689.4","53712.20"
"NIFTY MIDCAP 100","30 Jan 2025","52973.55","53196.05","52544.2","52714.25"
"NIFTY MIDCAP 100","29 Jan 2025","51626.15","52758.6","51616.95","52718.85"
"NIFTY MIDCAP 100","28 Jan 2025","51919.35","52092.2","50875.05","51529.45"
"NIFTY MIDCAP 100","27 Jan 2025","52757.1","52765.05","51629.65","51795.90"
"NIFTY MIDCAP 100","24 Jan 2025","54098.9","54303.25","53082.85","53262.95"
"NIFTY MIDCAP 100","23 Jan 2025","53219.65","54254.4","53103.35","54098.85"
"NIFTY MIDCAP 100","22 Jan 2025","53936.95","53983.05","52353.45","53113.50"
"NIFTY MIDCAP 100","21 Jan 2025","55205.6","55256.85","53779.65","53834.95"
"NIFTY MIDCAP 100","20 Jan 2025","54933.7","55243.35","54345.2","55106.20"
"NIFTY MIDCAP 100","17 Jan 2025","54515.7","54792.25","54188.85","54607.65"
"NIFTY MIDCAP 100","16 Jan 2025","54460.2","54819.95","54410.3","54483.80"
"NIFTY MIDCAP 100","15 Jan 2025","53931.9","54295.8","53453.9","53899.00"
"NIFTY MIDCAP 100","14 Jan 2025","52638","53829.5","52635.65","53676.50"
"NIFTY MIDCAP 100","13 Jan 2025","53909.65","54083.35","52248.5","52390.40"
"NIFTY MIDCAP 100","10 Jan 2025","55658.15","55736.5","54526.25","54585.75"
"NIFTY MIDCAP 100","09 Jan 2025","56332.25","56455.85","55669.05","55745.90"
"NIFTY MIDCAP 100","08 Jan 2025","56994.5","57007.05","55667.3","56270.60"
"NIFTY MIDCAP 100","07 Jan 2025","56512.4","57116.6","56500","56869.30"
"NIFTY MIDCAP 100","06 Jan 2025","58096.4","58117.1","56187.8","56366.95"
"NIFTY MIDCAP 100","03 Jan 2025","58211.35","58393.8","57858.25","57931.05"
"NIFTY MIDCAP 100","02 Jan 2025","57581.6","58170.9","57411","58108.20"
"NIFTY MIDCAP 100","01 Jan 2025","57225.05","57473.85","57026.35","57450.90"
"NIFTY MIDCAP 100","31 Dec 2024","56921.65","57382.75","56475.95","57199.45"
"NIFTY MIDCAP 100","30 Dec 2024","56958.35","57321.45","56592.1","57189.75"
"NIFTY MIDCAP 100","27 Dec 2024","57266.65","57348.95","56950.5","56979.80"
"NIFTY MIDCAP 100","26 Dec 2024","57150.85","57265.2","56654.1","57125.70"
"NIFTY MIDCAP 100","24 Dec 2024","57161.15","57322.35","56755.8","57057.90"
"NIFTY MIDCAP 100","23 Dec 2024","57198.85","57438.75","56680.1","57092.90"
"NIFTY MIDCAP 100","20 Dec 2024","58739.45","58800.85","56813.45","56906.75"
"NIFTY MIDCAP 100","19 Dec 2024","57724.8","58607.3","57649.3","58556.25"
"NIFTY MIDCAP 100","18 Dec 2024","59094.2","59119","58447.2","58723.25"
"NIFTY MIDCAP 100","17 Dec 2024","59458.2","59654.95","59023.05","59101.90"
"NIFTY MIDCAP 100","16 Dec 2024","59144.55","59483.2","59122.8","59443.05"
"NIFTY MIDCAP 100","13 Dec 2024","58877.5","59024.4","58012.1","58991.55"
"NIFTY MIDCAP 100","12 Dec 2024","59335.25","59417.2","58958.15","59021.70"
"NIFTY MIDCAP 100","11 Dec 2024","59135.9","59347.1","59102.65","59292.95"
"NIFTY MIDCAP 100","10 Dec 2024","59062.6","59173.55","58834.35","59135.40"
"NIFTY MIDCAP 100","09 Dec 2024","58675.05","59083.65","58649.95","58998.75"
"NIFTY MIDCAP 100","06 Dec 2024","58571.7","58768.75","58307.55","58704.60"
"NIFTY MIDCAP 100","05 Dec 2024","58448.25","58516.6","58023.5","58441.55"
"NIFTY MIDCAP 100","04 Dec 2024","57734.7","58158.8","57621.8","58112.40"
"NIFTY MIDCAP 100","03 Dec 2024","57370.15","57543","57242.45","57509.00"
"NIFTY MIDCAP 100","02 Dec 2024","56400.65","57060.65","56227.15","57000.85"
"NIFTY MIDCAP 100","29 Nov 2024","56339.55","56532.05","56116.85","56392.65"
"NIFTY MIDCAP 100","28 Nov 2024","56414.1","56768.95","56169.65","56300.75"
"NIFTY MIDCAP 100","27 Nov 2024","56084.05","56303.7","55672.05","56272.35"
"NIFTY MIDCAP 100","26 Nov 2024","56092.2","56354.45","55861.4","55914.40"
"NIFTY MIDCAP 100","25 Nov 2024","55951.4","56168.5","55844.4","55900.55"
"NIFTY MIDCAP 100","22 Nov 2024","54460.75","55067.8","54354.1","55016.85"
"NIFTY MIDCAP 100","21 Nov 2024","54555.6","54638.1","53929.8","54385.35"
"NIFTY MIDCAP 100","19 Nov 2024","54269.6","55082.5","54265.9","54548.25"
"NIFTY MIDCAP 100","18 Nov 2024","54292","54369.5","53680.2","54044.80"
"NIFTY MIDCAP 100","14 Nov 2024","53875.5","54471.4","53870.75","54043.10"
"NIFTY MIDCAP 100","13 Nov 2024","55065.45","55172.45","53635.85","53800.85"
"NIFTY MIDCAP 100","12 Nov 2024","56067.7","56358.75","55131.1","55257.50"
"NIFTY MIDCAP 100","11 Nov 2024","56221.8","56349.3","55751.25","55853.75"
"NIFTY MIDCAP 100","08 Nov 2024","57201.7","57214.85","56207.2","56352.00"
"NIFTY MIDCAP 100","07 Nov 2024","57628.3","57731.55","57037.7","57109.15"
"NIFTY MIDCAP 100","06 Nov 2024","56452.5","57435.1","56369.7","57355.80"
"NIFTY MIDCAP 100","05 Nov 2024","55706.25","56173","55191.3","56115.45"
"NIFTY MIDCAP 100","04 Nov 2024","56573.95","56573.95","55505.1","55784.55"
"NIFTY MIDCAP 100","01 Nov 2024","56471.15","56657.05","56415.7","56496.05"
"NIFTY MIDCAP 100","31 Oct 2024","56349.1","56400.55","55746.2","56112.85"
"NIFTY MIDCAP 100","30 Oct 2024","56166.2","56800.9","55973.65","56339.25"
"NIFTY MIDCAP 100","29 Oct 2024","55979","56312.6","55239.85","56251.30"
"NIFTY MIDCAP 100","28 Oct 2024","55349.75","55937.9","55095.7","55736.60"
"NIFTY MIDCAP 100","25 Oct 2024","56482.9","56506.35","54740.95","55277.95"
"NIFTY MIDCAP 100","24 Oct 2024","56533.2","56796.15","56232.15","56349.75"
"NIFTY MIDCAP 100","23 Oct 2024","56100.6","57033.9","55644.25","56533.55"
"NIFTY MIDCAP 100","22 Oct 2024","57722.65","57804.9","56086.75","56174.05"
"NIFTY MIDCAP 100","21 Oct 2024","58807.6","58970.35","57614.2","57677.70"
"NIFTY MIDCAP 100","18 Oct 2024","58222.65","58752.7","57575.3","58649.15"
"NIFTY MIDCAP 100","17 Oct 2024","59521.3","59550.8","58415.8","58465.95"
"NIFTY MIDCAP 100","16 Oct 2024","59520.75","59700.3","59234.95","59451.85"
"NIFTY MIDCAP 100","15 Oct 2024","59664.45","59686.2","59279.65","59593.25"
"NIFTY MIDCAP 100","14 Oct 2024","59354.2","59520.8","59043.4","59465.45"
"NIFTY MIDCAP 100","11 Oct 2024","59038.75","59259.15","58826.2","59212.70"
"NIFTY MIDCAP 100","10 Oct 2024","59437.05","59539","58832.3","58935.85"
"NIFTY MIDCAP 100","09 Oct 2024","58917.9","59476.55","58873.5","59102.65"
"NIFTY MIDCAP 100","08 Oct 2024","57096.15","58649.25","56919","58535.90"
"NIFTY MIDCAP 100","07 Oct 2024","58731.25","58855.85","56823.2","57300.20"
"NIFTY MIDCAP 100","04 Oct 2024","58959.8","59274.7","57916.8","58474.45"
"NIFTY MIDCAP 100","03 Oct 2024","59490.3","60099.6","58891.3","59024.70"
"NIFTY MIDCAP 100","01 Oct 2024","60241.45","60414.8","59896.8","60358.30"
"NIFTY MIDCAP 100","30 Sep 2024","60189.55","60381.1","59829.6","60153.80"
"NIFTY MIDCAP 100","27 Sep 2024","60584.05","60696.35","60275.3","60381.15"
"NIFTY MIDCAP 100","26 Sep 2024","60603.85","60615.4","59983.45","60469.15"
"NIFTY MIDCAP 100","25 Sep 2024","60872","60888.5","60284.35","60465.15"
"NIFTY MIDCAP 100","24 Sep 2024","60887.6","60925.95","60737.55","60850.80"
"NIFTY MIDCAP 100","23 Sep 2024","60521.45","60759.45","60250.7","60712.40"
"NIFTY MIDCAP 100","20 Sep 2024","59614.45","60374.55","59393.2","60208.80"
"NIFTY MIDCAP 100","19 Sep 2024","60073.25","60208.6","58352.1","59351.90"
"NIFTY MIDCAP 100","18 Sep 2024","60223.75","60294.35","59443.35","59752.85"
"NIFTY MIDCAP 100","17 Sep 2024","60367.15","60404.65","60002.95","60180.75"
"NIFTY MIDCAP 100","16 Sep 2024","60345.4","60408.25","60029.85","60259.75"
"NIFTY MIDCAP 100","13 Sep 2024","59860.4","60189.35","59779.3","60034.05"
"NIFTY MIDCAP 100","12 Sep 2024","59436.85","59697.75","59197.15","59640.30"
"NIFTY MIDCAP 100","11 Sep 2024","59238.4","59479.5","58812.95","58938.05"
"NIFTY MIDCAP 100","10 Sep 2024","58784.5","59200.1","58754.15","59039.05"
"NIFTY MIDCAP 100","09 Sep 2024","58463.1","58481.55","57791.2","58347.40"
"NIFTY MIDCAP 100","06 Sep 2024","59489.55","59527.15","58396.8","58501.95"
"NIFTY MIDCAP 100","05 Sep 2024","59550.15","59597.35","59335.75","59448.50"
"NIFTY MIDCAP 100","04 Sep 2024","58861.8","59271.3","58756.9","59223.70"
"NIFTY MIDCAP 100","03 Sep 2024","59271.05","59478.9","59231.55","59297.85"
"NIFTY MIDCAP 100","02 Sep 2024","59529.9","59529.9","58967.6","59152.65"
"NIFTY MIDCAP 100","30 Aug 2024","59153.85","59472.55","58982.8","59286.65"
"NIFTY MIDCAP 100","29 Aug 2024","59231","59269.85","58522.95","58883.95"
"NIFTY MIDCAP 100","28 Aug 2024","59388.8","59412.7","58942.65","59146.40"
"NIFTY MIDCAP 100","27 Aug 2024","59086.45","59260.15","58985.75","59220.25"
"NIFTY MIDCAP 100","26 Aug 2024","58847.5","58996.5","58664.3","58931.15"
"NIFTY MIDCAP 100","23 Aug 2024","58961.55","59008.45","58518.2","58555.30"
"NIFTY MIDCAP 100","22 Aug 2024","58743.05","58946.9","58623.75","58844.85"
"NIFTY MIDCAP 100","21 Aug 2024","58303.2","58508.45","58143.7","58444.05"
"NIFTY MIDCAP 100","20 Aug 2024","58037.3","58282.65","57828.3","58247.85"
"NIFTY MIDCAP 100","19 Aug 2024","57992.65","58111.45","57623.2","57760.90"
"NIFTY MIDCAP 100","16 Aug 2024","56991.75","57699.75","56861.2","57656.00"
"NIFTY MIDCAP 100","14 Aug 2024","57090.2","57144.1","56347.1","56547.05"
"NIFTY MIDCAP 100","13 Aug 2024","57580.35","57658.35","56779.85","56881.50"
"NIFTY MIDCAP 100","12 Aug 2024","56984.65","57440.95","56677.85","57330.60"
"NIFTY MIDCAP 100","09 Aug 2024","57227","57427.2","57019.45","57174.40"
