"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","27 Mar 2025","15896.5","16157.15","15819.45","16119.85"
"NIFTY SMALLCAP 100","26 Mar 2025","16136.75","16195.9","15911.85","15936.75"
"NIFTY SMALLCAP 100","25 Mar 2025","16485.1","16519.75","16062.25","16108.90"
"NIFTY SMALLCAP 100","24 Mar 2025","16306.2","16459.95","16233.5","16363.70"
"NIFTY SMALLCAP 100","21 Mar 2025","15888.45","16203.4","15842.4","16184.95"
"NIFTY SMALLCAP 100","20 Mar 2025","15871.55","15979.05","15690","15858.05"
"NIFTY SMALLCAP 100","19 Mar 2025","15436.65","15783.2","15417.15","15747.60"
"NIFTY SMALLCAP 100","18 Mar 2025","15068.9","15390.8","15049.2","15374.70"
"NIFTY SMALLCAP 100","17 Mar 2025","14940","15096.1","14888.6","14968.40"
"NIFTY SMALLCAP 100","13 Mar 2025","15090.3","15118.8","14881.15","14897.35"
"NIFTY SMALLCAP 100","12 Mar 2025","15132.05","15190","14900.2","15044.35"
"NIFTY SMALLCAP 100","11 Mar 2025","15009.6","15134.55","14869.1","15075.90"
"NIFTY SMALLCAP 100","10 Mar 2025","15525.45","15663.9","15131.85","15198.15"
"NIFTY SMALLCAP 100","07 Mar 2025","15420.15","15614.15","15379.25","15504.30"
"NIFTY SMALLCAP 100","06 Mar 2025","15342.45","15457.55","15277.05","15400.35"
"NIFTY SMALLCAP 100","05 Mar 2025","14764.65","15211.75","14764.65","15199.10"
"NIFTY SMALLCAP 100","04 Mar 2025","14469.6","14867.45","14389.95","14762.60"
"NIFTY SMALLCAP 100","03 Mar 2025","14740.9","14825.3","14299.8","14660.85"
"NIFTY SMALLCAP 100","28 Feb 2025","15006.9","15051.45","14617.65","14700.20"
"NIFTY SMALLCAP 100","27 Feb 2025","15426.95","15460.75","15097.85","15156.60"
"NIFTY SMALLCAP 100","25 Feb 2025","15462.95","15606.05","15377","15408.60"
"NIFTY SMALLCAP 100","24 Feb 2025","15502.7","15601.75","15317.4","15477.30"
"NIFTY SMALLCAP 100","21 Feb 2025","15730.4","15982.05","15566.05","15636.90"
"NIFTY SMALLCAP 100","20 Feb 2025","15474.5","15768.05","15417.2","15747.70"
"NIFTY SMALLCAP 100","19 Feb 2025","15058","15579.15","14976.3","15525.90"
"NIFTY SMALLCAP 100","18 Feb 2025","15422","15452.8","15038.4","15168.45"
"NIFTY SMALLCAP 100","17 Feb 2025","15291.95","15512.45","15044.4","15413.10"
"NIFTY SMALLCAP 100","14 Feb 2025","16013.45","16033","15254.1","15407.20"
"NIFTY SMALLCAP 100","13 Feb 2025","16024.2","16206","15944.7","15973.85"
"NIFTY SMALLCAP 100","12 Feb 2025","16034.85","16122.45","15490.1","16033.00"
"NIFTY SMALLCAP 100","11 Feb 2025","16617.05","16632.75","15968.1","16074.35"
"NIFTY SMALLCAP 100","10 Feb 2025","16998.2","17051.15","16562.5","16648.70"
"NIFTY SMALLCAP 100","07 Feb 2025","17014.35","17106.7","16838.2","17006.85"
"NIFTY SMALLCAP 100","06 Feb 2025","17173.65","17190.6","16989.85","17056.75"
"NIFTY SMALLCAP 100","05 Feb 2025","16863.2","17148.65","16862.2","17108.50"
"NIFTY SMALLCAP 100","04 Feb 2025","16752.35","16837.85","16617.25","16798.50"
"NIFTY SMALLCAP 100","03 Feb 2025","16801.95","16876.9","16544.75","16617.60"
"NIFTY SMALLCAP 100","01 Feb 2025","16959.7","17128","16678.9","16979.75"
"NIFTY SMALLCAP 100","31 Jan 2025","16617.85","16922.8","16573.75","16910.50"
"NIFTY SMALLCAP 100","30 Jan 2025","16668","16780.75","16505.05","16560.50"
"NIFTY SMALLCAP 100","29 Jan 2025","16017.55","16560.9","16013.1","16540.55"
"NIFTY SMALLCAP 100","28 Jan 2025","16318.15","16348.2","15684.6","16008.50"
"NIFTY SMALLCAP 100","27 Jan 2025","16768.6","16772.4","16178.9","16304.25"
"NIFTY SMALLCAP 100","24 Jan 2025","17373.05","17418.45","16906.65","16956.05"
"NIFTY SMALLCAP 100","23 Jan 2025","17157.35","17472.65","17079.9","17364.55"
"NIFTY SMALLCAP 100","22 Jan 2025","17485.4","17498.5","16915.35","17172.55"
"NIFTY SMALLCAP 100","21 Jan 2025","17909.45","17941.25","17428.3","17456.50"
"NIFTY SMALLCAP 100","20 Jan 2025","17731.1","17877.6","17603.6","17864.65"
"NIFTY SMALLCAP 100","17 Jan 2025","17637.9","17704","17490.05","17672.05"
"NIFTY SMALLCAP 100","16 Jan 2025","17517.7","17692.65","17516.1","17643.30"
"NIFTY SMALLCAP 100","15 Jan 2025","17350.85","17507.55","17162.45","17353.95"
"NIFTY SMALLCAP 100","14 Jan 2025","17014.75","17296.4","16965.5","17257.80"
"NIFTY SMALLCAP 100","13 Jan 2025","17407.7","17531.15","16808.7","16922.10"
"NIFTY SMALLCAP 100","10 Jan 2025","18100.5","18115.05","17628.95","17645.55"
"NIFTY SMALLCAP 100","09 Jan 2025","18366.3","18395.2","18096.05","18118.35"
"NIFTY SMALLCAP 100","08 Jan 2025","18714.1","18730.35","18238.6","18365.65"
"NIFTY SMALLCAP 100","07 Jan 2025","18462","18698.9","18459.75","18673.45"
"NIFTY SMALLCAP 100","06 Jan 2025","19096.8","19114.3","18385.7","18425.25"
"NIFTY SMALLCAP 100","03 Jan 2025","19120.35","19224.95","19009.45","19033.70"
"NIFTY SMALLCAP 100","02 Jan 2025","19012.8","19089.55","18932.35","19080.35"
"NIFTY SMALLCAP 100","01 Jan 2025","18781.9","18989","18753.65","18959.80"
"NIFTY SMALLCAP 100","31 Dec 2024","18596.35","18822.3","18472.75","18769.20"
"NIFTY SMALLCAP 100","30 Dec 2024","18762.35","18787.35","18561.1","18639.95"
"NIFTY SMALLCAP 100","27 Dec 2024","18775.3","18822.7","18705.25","18755.85"
"NIFTY SMALLCAP 100","26 Dec 2024","18760.55","18808.6","18608.4","18728.65"
"NIFTY SMALLCAP 100","24 Dec 2024","18704.9","18823","18586.1","18732.65"
"NIFTY SMALLCAP 100","23 Dec 2024","18822.5","18871.45","18546.45","18687.80"
"NIFTY SMALLCAP 100","20 Dec 2024","19201.4","19241.95","18672.6","18714.30"
"NIFTY SMALLCAP 100","19 Dec 2024","18861.05","19163.6","18856.55","19133.10"
"NIFTY SMALLCAP 100","18 Dec 2024","19410.45","19443.45","19164.2","19230.35"
"NIFTY SMALLCAP 100","17 Dec 2024","19563.15","19598.35","19371.1","19398.45"
"NIFTY SMALLCAP 100","16 Dec 2024","19435.6","19575.5","19430.4","19531.05"
"NIFTY SMALLCAP 100","13 Dec 2024","19425","19439.35","19047.85","19407.30"
"NIFTY SMALLCAP 100","12 Dec 2024","19694","19716.2","19447.7","19466.55"
"NIFTY SMALLCAP 100","11 Dec 2024","19631.35","19698.95","19610.85","19657.35"
