"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","27 Mar 2025","11919.15","12049.35","11905.15","12026.15"
"NIFTY TOTAL MARKET","26 Mar 2025","12061.9","12095.4","11940.4","11951.30"
"NIFTY TOTAL MARKET","25 Mar 2025","12176.9","12182.1","12017.35","12046.40"
"NIFTY TOTAL MARKET","24 Mar 2025","12049.9","12143.6","12004.05","12111.35"
"NIFTY TOTAL MARKET","21 Mar 2025","11842.35","11975","11823.35","11962.80"
"NIFTY TOTAL MARKET","20 Mar 2025","11799.6","11856.3","11733.5","11843.50"
"NIFTY TOTAL MARKET","19 Mar 2025","11639.6","11745.7","11615.05","11728.35"
"NIFTY TOTAL MARKET","18 Mar 2025","11468.2","11618.1","11441.75","11607.05"
"NIFTY TOTAL MARKET","17 Mar 2025","11332.4","11438.7","11332.35","11395.15"
"NIFTY TOTAL MARKET","13 Mar 2025","11429.05","11440","11325.95","11336.25"
"NIFTY TOTAL MARKET","12 Mar 2025","11439.45","11464.9","11302.2","11387.80"
"NIFTY TOTAL MARKET","11 Mar 2025","11312.1","11429.05","11283.55","11411.30"
"NIFTY TOTAL MARKET","10 Mar 2025","11496.85","11554.75","11374.35","11394.70"
"NIFTY TOTAL MARKET","07 Mar 2025","11489.35","11561.8","11460.9","11501.00"
"NIFTY TOTAL MARKET","06 Mar 2025","11475.45","11510.7","11395.5","11499.20"
"NIFTY TOTAL MARKET","05 Mar 2025","11184.45","11391.45","11184.45","11387.80"
"NIFTY TOTAL MARKET","04 Mar 2025","11084","11215.4","11051.75","11192.85"
"NIFTY TOTAL MARKET","03 Mar 2025","11201.1","11235.5","11035.75","11175.40"
"NIFTY TOTAL MARKET","28 Feb 2025","11339.05","11345.7","11128.05","11169.90"
"NIFTY TOTAL MARKET","27 Feb 2025","11489.2","11508.95","11392.55","11413.55"
"NIFTY TOTAL MARKET","25 Feb 2025","11496.3","11554.5","11461.8","11478.75"
"NIFTY TOTAL MARKET","24 Feb 2025","11533.1","11556.1","11484.2","11508.80"
"NIFTY TOTAL MARKET","21 Feb 2025","11692","11757.85","11592.55","11634.25"
"NIFTY TOTAL MARKET","20 Feb 2025","11606.45","11718.7","11597.3","11712.75"
"NIFTY TOTAL MARKET","19 Feb 2025","11523.1","11693.5","11493.1","11653.85"
"NIFTY TOTAL MARKET","18 Feb 2025","11616.45","11632.5","11499","11579.25"
"NIFTY TOTAL MARKET","17 Feb 2025","11533.1","11618.1","11432.7","11609.60"
"NIFTY TOTAL MARKET","14 Feb 2025","11797.95","11808.55","11513.1","11602.85"
"NIFTY TOTAL MARKET","13 Feb 2025","11779.6","11888.4","11744.45","11764.55"
"NIFTY TOTAL MARKET","12 Feb 2025","11776.05","11820.8","11556.75","11768.80"
"NIFTY TOTAL MARKET","11 Feb 2025","12032.05","12037.65","11740.65","11791.45"
"NIFTY TOTAL MARKET","10 Feb 2025","12191.65","12204.9","11995.85","12035.90"
"NIFTY TOTAL MARKET","07 Feb 2025","12233.1","12264.7","12127","12196.25"
"NIFTY TOTAL MARKET","06 Feb 2025","12316.95","12323","12184.55","12215.00"
"NIFTY TOTAL MARKET","05 Feb 2025","12276.8","12319.45","12262.45","12274.15"
"NIFTY TOTAL MARKET","04 Feb 2025","12137.55","12245.3","12095.5","12236.55"
"NIFTY TOTAL MARKET","03 Feb 2025","12068.45","12084.15","11989.1","12053.50"
"NIFTY TOTAL MARKET","01 Feb 2025","12184.4","12232.65","12049.25","12158.15"
"NIFTY TOTAL MARKET","31 Jan 2025","12017.9","12173.8","12001.15","12156.55"
"NIFTY TOTAL MARKET","30 Jan 2025","11987.1","12057.35","11945.3","11994.00"
"NIFTY TOTAL MARKET","29 Jan 2025","11802.3","11973.85","11800.6","11965.65"
"NIFTY TOTAL MARKET","28 Jan 2025","11831.1","11876","11675.6","11776.80"
"NIFTY TOTAL MARKET","27 Jan 2025","11922.2","11924.85","11748.05","11777.60"
"NIFTY TOTAL MARKET","24 Jan 2025","12140.9","12185","11992.35","12014.35"
"NIFTY TOTAL MARKET","23 Jan 2025","12053.5","12177.45","12031.9","12143.20"
"NIFTY TOTAL MARKET","22 Jan 2025","12120.35","12128.5","11939.9","12064.65"
"NIFTY TOTAL MARKET","21 Jan 2025","12331.1","12337","12079.5","12091.55"
"NIFTY TOTAL MARKET","20 Jan 2025","12281","12326.15","12202.05","12304.60"
"NIFTY TOTAL MARKET","17 Jan 2025","12241.2","12258.5","12164.7","12230.75"
"NIFTY TOTAL MARKET","16 Jan 2025","12256.7","12283.2","12233.2","12249.30"
"NIFTY TOTAL MARKET","15 Jan 2025","12166.4","12202.5","12093.2","12152.90"
"NIFTY TOTAL MARKET","14 Jan 2025","12025.8","12139.65","12024.15","12114.30"
"NIFTY TOTAL MARKET","13 Jan 2025","12162.85","12202.7","11948.85","11977.75"
"NIFTY TOTAL MARKET","10 Jan 2025","12446.9","12461.2","12264.1","12299.80"
"NIFTY TOTAL MARKET","09 Jan 2025","12552.45","12557.05","12435.85","12446.15"
"NIFTY TOTAL MARKET","08 Jan 2025","12638.1","12641.7","12460.3","12552.90"
"NIFTY TOTAL MARKET","07 Jan 2025","12573.6","12665.4","12559","12617.00"
"NIFTY TOTAL MARKET","06 Jan 2025","12849.9","12852.45","12508.35","12543.10"
"NIFTY TOTAL MARKET","03 Jan 2025","12901.6","12913.5","12809","12823.85"
"NIFTY TOTAL MARKET","02 Jan 2025","12720.55","12891.05","12699.55","12883.90"
"NIFTY TOTAL MARKET","01 Jan 2025","12634.45","12716.35","12601.95","12697.15"
"NIFTY TOTAL MARKET","31 Dec 2024","12572.6","12653.75","12508.65","12633.40"
"NIFTY TOTAL MARKET","30 Dec 2024","12668.4","12712.55","12569.45","12619.10"
"NIFTY TOTAL MARKET","27 Dec 2024","12687.1","12730.8","12666.8","12671.80"
"NIFTY TOTAL MARKET","26 Dec 2024","12674.7","12701.2","12603.95","12662.00"
"NIFTY TOTAL MARKET","24 Dec 2024","12664.3","12712.05","12612.3","12650.55"
"NIFTY TOTAL MARKET","23 Dec 2024","12679.05","12721.45","12605.5","12652.70"
"NIFTY TOTAL MARKET","20 Dec 2024","12871.9","12911.45","12584.8","12606.65"
"NIFTY TOTAL MARKET","19 Dec 2024","12760.6","12869.6","12757.85","12853.05"
"NIFTY TOTAL MARKET","18 Dec 2024","13034.75","13061.1","12919.95","12952.75"
"NIFTY TOTAL MARKET","17 Dec 2024","13163.95","13186.25","13029.9","13045.35"
"NIFTY TOTAL MARKET","16 Dec 2024","13194.25","13223.6","13146.3","13186.65"
"NIFTY TOTAL MARKET","13 Dec 2024","13104.95","13197.3","12918.85","13186.25"
