Date,Price
01/02/2007,4807.77
01/03/2007,4827.74
01/04/2007,4785.45
01/05/2007,4778.97
01/08/2007,4718.99
01/09/2007,4692.59
01/10/2007,4619.29
01/11/2007,4729.61
01/12/2007,4861.82
01/15/2007,4893.39
01/16/2007,4895.91
01/17/2007,4891.05
01/18/2007,4930.16
01/19/2007,4907.74
01/22/2007,4923.09
01/23/2007,4879.47
01/24/2007,4908.03
01/25/2007,4977.39
01/29/2007,4949.49
01/31/2007,4899.39
02/01/2007,4966.14
02/02/2007,5021.71
02/05/2007,5059.94
02/06/2007,5037.05
02/07/2007,5071.08
02/08/2007,5070.06
02/09/2007,5026.84
02/12/2007,4879.72
02/13/2007,4863.8
02/14/2007,4867.12
02/15/2007,4986.3
02/19/2007,5008.75
02/20/2007,4939.47
02/21/2007,4926.78
02/22/2007,4859.19
02/23/2007,4737.65
02/26/2007,4741.32
02/27/2007,4683.46
02/28/2007,4504.73
03/01/2007,4583.99
03/02/2007,4482.42
03/05/2007,4301.7
03/06/2007,4396.9
03/07/2007,4362.36
03/08/2007,4524.5
03/09/2007,4472.42
03/12/2007,4492.39
03/13/2007,4535.63
03/14/2007,4380.97
03/15/2007,4384.74
03/16/2007,4343.36
03/19/2007,4428.04
03/20/2007,4450.55
03/21/2007,4534.62
03/22/2007,4668.95
03/23/2007,4651.43
03/26/2007,4603.34
03/28/2007,4533.03
03/29/2007,4577.63
03/30/2007,4605.89
04/02/2007,4379.37
04/03/2007,4448.12
04/04/2007,4499.91
04/05/2007,4522.51
04/09/2007,4632.8
04/10/2007,4638.41
04/11/2007,4655.88
04/12/2007,4616.35
04/13/2007,4721.82
04/16/2007,4837.53
04/17/2007,4803.3
04/18/2007,4835.42
04/19/2007,4818.61
04/20/2007,4923.47
04/23/2007,4931.08
04/24/2007,4999.52
04/25/2007,5030.3
04/26/2007,5043.03
04/27/2007,4929.15
04/30/2007,4934.46
05/03/2007,5010.44
05/04/2007,4970.0
05/07/2007,4962.52
05/08/2007,4921.3
05/09/2007,4924.08
05/10/2007,4908.99
05/11/2007,4920.88
05/14/2007,4990.55
05/15/2007,4973.65
05/16/2007,5034.79
05/17/2007,5093.9
05/18/2007,5087.8
05/21/2007,5143.81
05/22/2007,5164.58
05/23/2007,5126.07
05/24/2007,5076.21
05/25/2007,5128.42
05/28/2007,5138.56
05/29/2007,5182.87
05/30/2007,5130.23
05/31/2007,5185.95
06/01/2007,5188.58
06/04/2007,5152.36
06/05/2007,5173.61
06/06/2007,5069.99
06/07/2007,5047.71
06/08/2007,5007.87
06/11/2007,5008.59
06/12/2007,5021.28
06/13/2007,4971.76
06/14/2007,5042.38
06/15/2007,5044.9
06/18/2007,5015.45
06/19/2007,5096.72
06/20/2007,5138.26
06/21/2007,5160.94
06/22/2007,5142.38
06/25/2007,5151.26
06/26/2007,5183.07
06/27/2007,5156.77
06/28/2007,5179.91
06/29/2007,5223.82
07/02/2007,5218.32
07/03/2007,5271.3
07/04/2007,5273.42
07/05/2007,5267.33
07/06/2007,5304.84
07/09/2007,5346.64
07/10/2007,5331.14
07/11/2007,5308.27
07/12/2007,5379.66
07/13/2007,5450.57
07/16/2007,5462.01
07/17/2007,5443.84
07/18/2007,5447.23
07/19/2007,5522.95
07/20/2007,5527.74
07/23/2007,5592.26
07/24/2007,5593.96
07/25/2007,5555.16
07/26/2007,5592.81
07/27/2007,5381.97
07/30/2007,5375.74
07/31/2007,5483.25
08/01/2007,5261.69
08/02/2007,5274.76
08/03/2007,5330.23
08/06/2007,5255.08
08/07/2007,5276.76
08/08/2007,5406.51
08/09/2007,5335.14
08/10/2007,5250.51
08/13/2007,5299.34
08/14/2007,5295.27
08/16/2007,5063.42
08/17/2007,4978.73
08/20/2007,5101.1
08/21/2007,4938.51
08/22/2007,5033.64
08/23/2007,4987.63
08/24/2007,5078.77
08/27/2007,5215.11
08/28/2007,5237.01
08/29/2007,5283.81
08/30/2007,5348.64
08/31/2007,5411.29
09/03/2007,5424.33
09/04/2007,5430.49
09/05/2007,5426.37
09/06/2007,5478.17
09/07/2007,5467.13
09/10/2007,5470.46
09/11/2007,5457.35
09/12/2007,5457.12
09/13/2007,5496.07
09/14/2007,5483.09
09/17/2007,5454.74
09/18/2007,5517.33
09/19/2007,5743.32
09/20/2007,5761.77
09/21/2007,5871.0
09/24/2007,5985.91
09/25/2007,5993.99
09/26/2007,5995.94
09/27/2007,6068.83
09/28/2007,6094.11
10/01/2007,6151.88
10/03/2007,6323.99
10/04/2007,6321.38
10/05/2007,6293.71
10/08/2007,6171.46
10/09/2007,6465.33
10/10/2007,6603.91
10/11/2007,6705.13
10/12/2007,6587.9
10/15/2007,6881.82
10/16/2007,6878.92
10/17/2007,6746.99
10/18/2007,6494.74
10/19/2007,6330.03
10/22/2007,6292.55
10/23/2007,6644.48
10/24/2007,6671.7
10/25/2007,6760.63
10/26/2007,6922.5
10/29/2007,7169.67
10/30/2007,7124.58
10/31/2007,7163.3
11/01/2007,7121.96
11/02/2007,7202.01
11/05/2007,7098.67
11/06/2007,7024.91
