"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2025","19,738.10","19,836.95","20,024.65","19,690.10","","-0.68%"
"04/30/2025","19,873.15","20,021.20","20,109.25","19,785.95","","-0.68%"
"04/29/2025","20,009.05","20,032.70","20,163.00","19,962.90","","0.21%"
"04/28/2025","19,966.70","19,661.80","19,978.25","19,660.90","","1.38%"
"04/25/2025","19,694.85","20,232.10","20,266.85","19,532.50","","-2.47%"
"04/24/2025","20,194.40","20,241.80","20,282.00","20,175.55","","-0.17%"
"04/23/2025","20,229.05","20,159.35","20,244.10","19,895.40","","0.98%"
"04/22/2025","20,032.30","19,935.95","20,106.30","19,816.70","","0.85%"
"04/21/2025","19,863.65","19,533.10","19,886.05","19,485.40","","2.21%"
"04/17/2025","19,433.45","19,306.15","19,459.00","19,225.80","","0.58%"
"04/16/2025","19,320.60","19,216.55","19,331.40","19,174.50","","0.74%"
"04/15/2025","19,178.50","18,936.10","19,208.60","18,838.50","","3.03%"
"04/11/2025","18,614.15","18,624.40","18,661.10","18,469.90","","1.87%"
"04/09/2025","18,272.75","18,342.35","18,342.95","18,053.10","","-0.62%"
"04/08/2025","18,387.05","18,386.05","18,502.30","18,149.15","","2.12%"
"04/07/2025","18,005.10","17,269.55","18,099.60","17,269.50","","-3.59%"
"04/04/2025","18,675.30","19,198.15","19,211.75","18,567.10","","-2.93%"
"04/03/2025","19,238.40","19,051.10","19,271.65","19,044.50","","0.20%"
"04/02/2025","19,200.75","18,974.45","19,212.70","18,804.75","","1.42%"
"04/01/2025","18,931.40","19,081.45","19,222.30","18,889.70","","-0.99%"
"03/28/2025","19,120.35","19,260.15","19,389.60","19,039.35","","-0.29%"
"03/27/2025","19,175.40","19,029.70","19,213.20","18,966.70","","0.36%"
"03/26/2025","19,106.65","19,256.00","19,377.20","19,083.65","","-0.63%"
"03/25/2025","19,228.35","19,556.25","19,568.40","19,138.50","","-0.98%"
"03/24/2025","19,418.30","19,343.50","19,501.15","19,260.00","","1.12%"
"03/21/2025","19,203.30","18,963.95","19,227.05","18,914.65","","1.34%"
"03/20/2025","18,948.45","18,959.40","19,008.90","18,778.45","","0.55%"
"03/19/2025","18,844.40","18,486.90","18,874.25","18,453.30","","2.37%"
"03/18/2025","18,408.40","18,132.65","18,428.45","18,088.25","","2.06%"
"03/17/2025","18,037.25","17,931.70","18,101.90","17,897.90","","0.76%"
"03/13/2025","17,902.00","18,082.65","18,106.05","17,871.50","","-0.62%"
"03/12/2025","18,014.25","18,167.95","18,221.95","17,820.85","","-0.51%"
"03/11/2025","18,106.90","17,866.10","18,145.20","17,800.95","","0.42%"
"03/10/2025","18,031.10","18,308.85","18,416.50","17,974.45","","-1.42%"
"03/07/2025","18,290.60","18,334.90","18,453.20","18,261.30","","-0.27%"
"03/06/2025","18,341.00","18,407.55","18,477.45","18,283.20","","0.55%"
"03/05/2025","18,240.15","17,756.75","18,250.55","17,756.75","","2.43%"
"03/04/2025","17,807.30","17,583.10","17,895.00","17,449.95","","0.16%"
"03/03/2025","17,778.55","17,768.55","17,822.95","17,379.60","","0.16%"
"02/28/2025","17,750.55","18,025.40","18,032.15","17,591.90","","-2.35%"
"02/27/2025","18,176.85","18,413.10","18,453.95","18,113.90","","-1.26%"
