Tranche,Issue Date,Issue Price (₹/gram)
2015-I,2015-11-30,2684
2016-I,2016-02-08,2600
2016-II,2016-03-29,2916
2016-17 Series I,2016-08-05,3119
2016-17 Series II,2016-09-30,3150
2016-17 Series III,2016-11-17,3007
2016-17 Series IV,2017-03-17,2943
2017-18 Series I,2017-05-12,2951
2017-18 Series II,2017-07-28,2830
2017-18 Series III,2017-10-16,2956
2017-18 Series IV,2017-10-23,2987
2017-18 Series V,2017-10-30,2971
2017-18 Series VI,2017-11-06,2945
2017-18 Series VII,2017-11-13,2934
2017-18 Series VIII,2017-11-20,2961
2017-18 Series IX,2017-11-27,2964
2017-18 Series X,2017-12-04,2961
2017-18 Series XI,2017-12-11,2952
2017-18 Series XII,2017-12-18,2890
2017-18 Series XIII,2017-12-26,2866
2017-18 Series XIV,2018-01-01,2881
2018-19 Series I,2018-05-04,3114
2018-19 Series II,2018-10-23,3146
2018-19 Series III,2018-11-13,3183
2018-19 Series IV,2019-01-01,3119
2018-19 Series V,2019-01-22,3214
2018-19 Series VI,2019-02-12,3326
2019-20 Series I,2019-06-11,3196
2019-20 Series II,2019-07-16,3443
2019-20 Series III,2019-08-14,3499
2019-20 Series IV,2019-09-17,3890
2019-20 Series V,2019-10-15,3788
2019-20 Series VI,2019-10-30,3835
2019-20 Series VII,2019-12-10,3795
2019-20 Series VIII,2020-01-21,4016
2019-20 Series IX,2020-02-11,4070
2019-20 Series X,2020-03-11,4260
2020-21 Series I,2020-04-28,4639
2020-21 Series II,2020-05-19,4590
2020-21 Series III,2020-06-16,4677
2020-21 Series IV,2020-07-14,4852
2020-21 Series V,2020-08-11,5334
2020-21 Series VI,2020-09-08,5117
2020-21 Series VII,2020-10-20,5051
2020-21 Series VIII,2020-11-18,5177
2020-21 Series IX,2021-01-05,5000
2020-21 Series X,2021-01-19,5104
2020-21 Series XI,2021-02-09,4912
2020-21 Series XII,2021-03-09,4662
2021-22 Series I,2021-05-25,4777
2021-22 Series II,2021-06-01,4842
2021-22 Series III,2021-06-08,4889
2021-22 Series IV,2021-07-20,4807
2021-22 Series V,2021-08-17,4790
2021-22 Series VI,2021-09-07,4732
2021-22 Series VII,2021-11-02,4761
2021-22 Series VIII,2021-12-07,4791
2021-22 Series IX,2022-01-18,4786
2021-22 Series X,2022-03-08,5109
2022-23 Series I,2022-06-28,5091
2022-23 Series II,2022-08-30,5197
2022-23 Series III,2022-12-27,5409
2022-23 Series IV,2023-03-14,5611
2023-24 Series I,2023-06-27,5926
2023-24 Series II,2023-09-20,5923
2023-24 Series III,2023-12-28,6199
2023-24 Series IV,2024-02-21,6263
